TITLE_ID_NUMBER	TITLE	IMDB_TITLE	EPISODE_DATE	MOVIE_DATE	LENGTH	SHOTS_TOTAL	ASL	MAXIMUM_SL	STANDARD_DEVIATION	COMMENTS	DATE_SUBMITTED
378	Ma̱ana es para siempre, Part 3	Ma̱ana es para siempre	2009-03-04		593	120	4.94	33	5.24		13 May 2009
379	Ma̱ana es para siempre, Part 4	Ma̱ana es para siempre	2009-03-04		442	102	4.33	32	4.21		13 May 2009
380	Ma̱ana es para siempre, Part 5	Ma̱ana es para siempre	2009-03-04		294	57	5.16	21	4.03		13 May 2009
386	Shoot	Mad Men	2007-09-13		2788	534	5.22	45	4.92		14 July 2009
387	Smoke Gets In Your Eyes	Mad Men	2007-07-19		2854	596	4.79	34	3.91		21 September 2009
388	Ladies Room	Mad Men	2007-07-26		2741	556	4.93	105	6.96		21 September 2009
389	Marriage of Figaro	Mad Men	2007-08-02		2570	463	5.55	55	6.45		21 September 2009
390	New Amsterdam	Mad Men	2007-08-09		2634	550	4.79	41	4.79		21 September 2009
391	5G	Mad Men	2007-08-16		2803	474	5.91	32	4.73		21 September 2009
392	Babylon	Mad Men	2007-08-23		2751	512	5.37	58	6.67		21 September 2009
393	Red In The Face	Mad Men	2007-08-30		2743	570	4.81	40	4.86		21 September 2009
394	The Hobo Code	Mad Men	2007-09-06		2814	606	4.64	42	3.85		21 September 2009
395	Long Weekend	Mad Men	2007-09-27		2814	485	5.80	90	6.20		21 September 2009
399	Indian Summer	Mad Men	2007-10-04		2816	606	4.65	52	4.90		24 September 2009
397	Nixon vs. Kennedy	Mad Men	2007-10-11		2802	541	5.18	34	4.43		21 September 2009
398	The Wheel	Mad Men	2007-10-18		3045	497	6.13	60	6.69		21 September 2009
818	Madam Satan	Madam Satan		1930	6840	774	8.84	102	10.00		14 November 2013
180	Letter to a Duchess	Magnum, P.I.	1983-11-10		2714	483	5.62	50	6.08		23 October 2008
181	Limited Engagement	Magnum, P.I.	1983-11-03		2720	518	5.25	58	6.34		23 October 2008
182	Squeeze Play	Magnum, P.I.	1983-11-17		2771	697	3.98	59	4.62		23 October 2008
183	Rollerskates	Malcolm in the Middle	2000-04-30		1244	339	3.67	23	3.51		27 October 2008
156	Day Man, The	Man Against Crime	1953-05-20		1419	106	13.39	91	15.21		22 September 2008
654	Sea of Security	Marcus Welby, M.D.	1970-03-17		2923	386	7.57	71	9.03		21 May 2012
